date,store,category,units_sold,revenue,promotion_flag
2022-01-13,Store_B,Apparel,322,5849.07,0
2022-01-13,Store_B,Electronics,570,24438.62,0
2022-01-13,Store_B,Groceries,428,2778.89,0
2022-01-13,Store_C,Apparel,408,7153.34,0
2022-01-13,Store_C,Electronics,626,27230.67,0
2022-01-13,Store_C,Groceries,494,3097.23,0
2022-01-14,Store_A,Apparel,607,10612.93,1
2022-01-14,Store_A,Electronics,678,31020.16,0
2022-01-14,Store_A,Groceries,523,3459.79,0
2022-01-14,Store_B,Apparel,323,5930.16,0
2022-01-14,Store_B,Electronics,443,19051.66,0
2022-01-14,Store_B,Groceries,428,2846.42,0
2022-01-14,Store_C,Apparel,359,6631.01,0
2022-01-14,Store_C,Electronics,542,23860.24,0
2022-01-14,Store_C,Groceries,491,3134.0,0
2022-01-15,Store_A,Apparel,365,6521.64,0
2022-01-15,Store_A,Electronics,617,28534.23,0
2022-01-15,Store_A,Groceries,475,2940.67,0
2022-01-15,Store_B,Apparel,261,4770.34,0
2022-01-15,Store_B,Electronics,542,23334.3,1
2022-01-15,Store_B,Groceries,324,2081.02,0
2022-01-15,Store_C,Apparel,379,7046.09,1
2022-01-15,Store_C,Electronics,471,20988.97,0
2022-01-15,Store_C,Groceries,394,2521.2,0
2022-01-16,Store_A,Apparel,373,7009.07,0
2022-01-16,Store_A,Electronics,542,25273.41,0
2022-01-16,Store_A,Groceries,428,2757.45,0
2022-01-16,Store_B,Apparel,235,4317.31,0
2022-01-16,Store_B,Electronics,369,16988.63,0
2022-01-16,Store_B,Groceries,283,1811.38,0
2022-01-16,Store_C,Apparel,382,6828.44,1
2022-01-16,Store_C,Electronics,526,24013.26,0
2022-01-16,Store_C,Groceries,357,2258.33,0
2022-01-17,Store_A,Apparel,359,6415.84,0
2022-01-17,Store_A,Electronics,724,31973.61,0
2022-01-17,Store_A,Groceries,499,3189.32,0
2022-01-17,Store_B,Apparel,295,5419.76,0
2022-01-17,Store_B,Electronics,470,21152.47,0
2022-01-17,Store_B,Groceries,443,2977.79,1
2022-01-17,Store_C,Apparel,400,7251.81,0
2022-01-17,Store_C,Electronics,699,29896.68,1
2022-01-17,Store_C,Groceries,453,2839.15,0
2022-01-18,Store_A,Apparel,458,8127.24,0
2022-01-18,Store_A,Electronics,862,38937.49,0
2022-01-18,Store_A,Groceries,636,4204.03,0
2022-01-18,Store_B,Apparel,355,6687.01,0
2022-01-18,Store_B,Electronics,617,27401.0,0
2022-01-18,Store_B,Groceries,459,2844.86,0
2022-01-18,Store_C,Apparel,437,8237.17,0
2022-01-18,Store_C,Electronics,645,30050.69,0
2022-01-18,Store_C,Groceries,467,3031.46,0
2022-01-19,Store_A,Apparel,557,9966.38,0
2022-01-19,Store_A,Electronics,806,37503.57,0
2022-01-19,Store_A,Groceries,593,3745.08,0
2022-01-19,Store_B,Apparel,380,6735.01,0
2022-01-19,Store_B,Electronics,613,26497.09,0
2022-01-19,Store_B,Groceries,498,3390.67,0
2022-01-19,Store_C,Apparel,404,7524.14,0
2022-01-19,Store_C,Electronics,689,29690.68,0
2022-01-19,Store_C,Groceries,528,3546.78,0
2022-01-20,Store_A,Apparel,476,8584.67,0
2022-01-20,Store_A,Electronics,830,39178.1,0
2022-01-20,Store_A,Groceries,641,4204.36,0
2022-01-20,Store_B,Apparel,311,5809.93,0
2022-01-20,Store_B,Electronics,463,21318.87,0
2022-01-20,Store_B,Groceries,373,2460.43,0
2022-01-20,Store_C,Apparel,394,7052.89,0
2022-01-20,Store_C,Electronics,594,27800.95,0
2022-01-20,Store_C,Groceries,512,3479.27,0
2022-01-21,Store_A,Apparel,460,8389.29,0
2022-01-21,Store_A,Electronics,688,32165.95,0
2022-01-21,Store_A,Groceries,543,3675.34,0
2022-01-21,Store_B,Apparel,277,4747.57,0
2022-01-21,Store_B,Electronics,467,20638.87,0
2022-01-21,Store_B,Groceries,386,2492.06,0
2022-01-21,Store_C,Apparel,393,7190.42,0
2022-01-21,Store_C,Electronics,602,28307.52,0
2022-01-21,Store_C,Groceries,500,3129.54,0
2022-01-22,Store_A,Apparel,538,9975.19,1
2022-01-22,Store_A,Electronics,643,28563.09,0
2022-01-22,Store_A,Groceries,505,3380.25,0
2022-01-22,Store_B,Apparel,275,4845.16,0
2022-01-22,Store_B,Electronics,456,20038.44,0
2022-01-22,Store_B,Groceries,365,2402.88,0
2022-01-22,Store_C,Apparel,335,6201.39,0
2022-01-22,Store_C,Electronics,551,26010.21,0
2022-01-22,Store_C,Groceries,379,2543.11,0
2022-01-23,Store_A,Apparel,362,6484.79,0
2022-01-23,Store_A,Electronics,579,25260.76,0
2022-01-23,Store_A,Groceries,419,2838.28,0
2022-01-23,Store_B,Apparel,260,4468.77,0
2022-01-23,Store_B,Electronics,408,18639.66,0
2022-01-23,Store_B,Groceries,300,1876.43,0
2022-01-23,Store_C,Apparel,306,5246.0,0
2022-01-23,Store_C,Electronics,454,21062.33,0
2022-01-23,Store_C,Groceries,364,2442.8,0
2022-01-24,Store_A,Apparel,409,7595.73,0
2022-01-24,Store_A,Electronics,795,35737.05,0
2022-01-24,Store_A,Groceries,522,3555.36,0
2022-01-24,Store_B,Apparel,320,5847.09,0
2022-01-24,Store_B,Electronics,554,25077.11,0
2022-01-24,Store_B,Groceries,405,2636.2,0
2022-01-24,Store_C,Apparel,352,6391.99,0
2022-01-24,Store_C,Electronics,706,30632.18,1
2022-01-24,Store_C,Groceries,405,2603.27,0
2022-01-25,Store_A,Apparel,541,9770.84,0
2022-01-25,Store_A,Electronics,831,38298.62,0
2022-01-25,Store_A,Groceries,615,3801.89,0
2022-01-25,Store_B,Apparel,369,6376.84,0
2022-01-25,Store_B,Electronics,661,29335.74,0
2022-01-25,Store_B,Groceries,472,3216.83,0
2022-01-25,Store_C,Apparel,396,7473.37,0
2022-01-25,Store_C,Electronics,724,33251.69,0
2022-01-25,Store_C,Groceries,602,3760.4,0
2022-01-26,Store_A,Apparel,581,10289.08,0
2022-01-26,Store_A,Electronics,860,38671.24,0
2022-01-26,Store_A,Groceries,720,4737.44,0
2022-01-26,Store_B,Apparel,402,7486.15,0
2022-01-26,Store_B,Electronics,603,27518.93,0
2022-01-26,Store_B,Groceries,507,3208.26,0
2022-01-26,Store_C,Apparel,476,8951.14,0
2022-01-26,Store_C,Electronics,738,32224.73,0
2022-01-26,Store_C,Groceries,615,4193.38,0
2022-01-27,Store_A,Apparel,527,9635.83,0
2022-01-27,Store_A,Electronics,786,35310.51,0
2022-01-27,Store_A,Groceries,576,3711.37,0
2022-01-27,Store_B,Apparel,358,6538.46,0
2022-01-27,Store_B,Electronics,649,28536.85,0
2022-01-27,Store_B,Groceries,401,2664.44,0
2022-01-27,Store_C,Apparel,374,6955.8,0
2022-01-27,Store_C,Electronics,708,33125.25,0
2022-01-27,Store_C,Groceries,533,3518.41,0
2022-01-28,Store_A,Apparel,514,9453.44,0
2022-01-28,Store_A,Electronics,715,33263.26,0
2022-01-28,Store_A,Groceries,832,5602.61,1
2022-01-28,Store_B,Apparel,334,5728.72,0
2022-01-28,Store_B,Electronics,513,23765.62,0
2022-01-28,Store_B,Groceries,372,2402.28,0
2022-01-28,Store_C,Apparel,397,6864.6,0
2022-01-28,Store_C,Electronics,595,26283.96,0
2022-01-28,Store_C,Groceries,486,3311.33,0
2022-01-29,Store_A,Apparel,390,7060.75,0
2022-01-29,Store_A,Electronics,656,29110.86,0
2022-01-29,Store_A,Groceries,466,2953.82,0
2022-01-29,Store_B,Apparel,253,4651.81,0
2022-01-29,Store_B,Electronics,406,17775.47,0
2022-01-29,Store_B,Groceries,336,2217.3,0
2022-01-29,Store_C,Apparel,338,6384.57,0
2022-01-29,Store_C,Electronics,513,22685.16,0
2022-01-29,Store_C,Groceries,446,2894.26,0
2022-01-30,Store_A,Apparel,362,6227.09,0
2022-01-30,Store_A,Electronics,511,23822.35,0
2022-01-30,Store_A,Groceries,383,2609.25,0
2022-01-30,Store_B,Apparel,230,4289.88,0
2022-01-30,Store_B,Electronics,386,16777.4,0
2022-01-30,Store_B,Groceries,278,1753.67,0
2022-01-30,Store_C,Apparel,289,5258.98,0
2022-01-30,Store_C,Electronics,480,22502.13,0
2022-01-30,Store_C,Groceries,352,2264.02,0
2022-01-31,Store_A,Apparel,396,6892.69,0
2022-01-31,Store_A,Electronics,666,29690.69,0
2022-01-31,Store_A,Groceries,531,3490.75,0
2022-01-31,Store_B,Apparel,303,5541.88,0
2022-01-31,Store_B,Electronics,424,19618.89,0
2022-01-31,Store_B,Groceries,381,2469.19,0
2022-01-31,Store_C,Apparel,370,6475.46,0
2022-01-31,Store_C,Electronics,608,26028.2,0
2022-01-31,Store_C,Groceries,436,2762.35,0
2022-02-01,Store_A,Apparel,512,9018.13,0
2022-02-01,Store_A,Electronics,797,35248.96,0
2022-02-01,Store_A,Groceries,609,4074.7,0
2022-02-01,Store_B,Apparel,474,8131.44,1
2022-02-01,Store_B,Electronics,672,30868.67,0
2022-02-01,Store_B,Groceries,474,3228.92,0
2022-02-01,Store_C,Apparel,453,8296.1,0
2022-02-01,Store_C,Electronics,704,30710.48,0
2022-02-01,Store_C,Groceries,599,4081.78,0
2022-02-02,Store_A,Apparel,547,9631.97,0
2022-02-02,Store_A,Electronics,959,42956.44,0
2022-02-02,Store_A,Groceries,694,4324.06,0
2022-02-02,Store_B,Apparel,383,7140.75,0
2022-02-02,Store_B,Electronics,701,30543.88,0
2022-02-02,Store_B,Groceries,546,3440.86,0
2022-02-02,Store_C,Apparel,446,8314.22,0
2022-02-02,Store_C,Electronics,726,32414.95,0
2022-02-02,Store_C,Groceries,623,3949.58,0
2022-02-03,Store_A,Apparel,532,9742.07,0
2022-02-03,Store_A,Electronics,900,41562.91,0
2022-02-03,Store_A,Groceries,567,3568.84,0
2022-02-03,Store_B,Apparel,302,5562.37,0
2022-02-03,Store_B,Electronics,523,22631.83,0
2022-02-03,Store_B,Groceries,446,2938.56,0
2022-02-03,Store_C,Apparel,377,6522.93,0
2022-02-03,Store_C,Electronics,588,26991.11,0
2022-02-03,Store_C,Groceries,477,2952.84,0
2022-02-04,Store_A,Apparel,440,7538.53,0
2022-02-04,Store_A,Electronics,1048,45396.23,1
2022-02-04,Store_A,Groceries,611,4074.13,0
2022-02-04,Store_B,Apparel,362,6436.8,0
2022-02-04,Store_B,Electronics,514,23912.72,0
2022-02-04,Store_B,Groceries,420,2750.64,0
2022-02-04,Store_C,Apparel,386,7237.34,0
2022-02-04,Store_C,Electronics,602,27489.76,0
2022-02-04,Store_C,Groceries,465,3026.27,0
2022-02-05,Store_A,Apparel,413,7624.07,0
2022-02-05,Store_A,Electronics,626,27314.81,0
2022-02-05,Store_A,Groceries,485,3001.81,0
2022-02-05,Store_B,Apparel,269,4759.02,0
2022-02-05,Store_B,Electronics,447,20671.38,0
2022-02-05,Store_B,Groceries,370,2420.64,0
2022-02-05,Store_C,Apparel,330,6189.6,0
2022-02-05,Store_C,Electronics,559,25581.16,0
2022-02-05,Store_C,Groceries,459,2946.82,0
2022-02-06,Store_A,Apparel,363,6380.67,0
2022-02-06,Store_A,Electronics,591,27795.62,0
2022-02-06,Store_A,Groceries,447,2997.57,0
2022-02-06,Store_B,Apparel,258,4634.63,0
2022-02-06,Store_B,Electronics,384,16981.5,0
2022-02-06,Store_B,Groceries,296,1946.15,0
2022-02-06,Store_C,Apparel,334,5719.49,0
2022-02-06,Store_C,Electronics,523,24429.38,0
2022-02-06,Store_C,Groceries,392,2487.2,0
2022-02-07,Store_A,Apparel,446,7875.49,0
2022-02-07,Store_A,Electronics,792,34483.45,0
2022-02-07,Store_A,Groceries,590,3648.6,0
2022-02-07,Store_B,Apparel,345,6437.97,0
2022-02-07,Store_B,Electronics,451,20616.06,0
2022-02-07,Store_B,Groceries,391,2542.07,0
2022-02-07,Store_C,Apparel,359,6720.69,0
2022-02-07,Store_C,Electronics,595,25760.31,0
2022-02-07,Store_C,Groceries,501,3300.34,0
2022-02-08,Store_A,Apparel,551,9945.68,0
2022-02-08,Store_A,Electronics,821,37195.22,0
2022-02-08,Store_A,Groceries,722,4766.74,0
2022-02-08,Store_B,Apparel,318,5582.08,0
2022-02-08,Store_B,Electronics,607,26288.39,0
2022-02-08,Store_B,Groceries,555,3433.23,0
2022-02-08,Store_C,Apparel,490,9214.09,0
2022-02-08,Store_C,Electronics,805,36305.28,0
2022-02-08,Store_C,Groceries,522,3346.95,0
2022-02-09,Store_A,Apparel,550,9618.77,0
2022-02-09,Store_A,Electronics,931,42227.29,0
2022-02-09,Store_A,Groceries,1037,6649.57,1
2022-02-09,Store_B,Apparel,383,6618.9,0
2022-02-09,Store_B,Electronics,628,28279.92,0
2022-02-09,Store_B,Groceries,492,3325.95,0
2022-02-09,Store_C,Apparel,437,7502.35,0
2022-02-09,Store_C,Electronics,768,35339.25,0
2022-02-09,Store_C,Groceries,620,3990.61,0
2022-02-10,Store_A,Apparel,490,9159.1,0
2022-02-10,Store_A,Electronics,874,39289.19,0
2022-02-10,Store_A,Groceries,596,3917.19,0
2022-02-10,Store_B,Apparel,345,6436.44,0
2022-02-10,Store_B,Electronics,558,23901.53,0
2022-02-10,Store_B,Groceries,477,3201.88,0
2022-02-10,Store_C,Apparel,385,6787.36,0
2022-02-10,Store_C,Electronics,623,28416.61,0
2022-02-10,Store_C,Groceries,477,2952.62,0
2022-02-11,Store_A,Apparel,412,7108.51,0
2022-02-11,Store_A,Electronics,785,35836.31,0
2022-02-11,Store_A,Groceries,512,3393.24,0
2022-02-11,Store_B,Apparel,321,5504.29,0
2022-02-11,Store_B,Electronics,540,24036.59,0
2022-02-11,Store_B,Groceries,438,2754.24,0
2022-02-11,Store_C,Apparel,386,6859.84,0
2022-02-11,Store_C,Electronics,564,25248.82,0
2022-02-11,Store_C,Groceries,423,2773.99,0
2022-02-12,Store_A,Apparel,391,6998.86,0
2022-02-12,Store_A,Electronics,653,28591.1,0
2022-02-12,Store_A,Groceries,473,3026.07,0
2022-02-12,Store_B,Apparel,276,5172.18,0
2022-02-12,Store_B,Electronics,498,21457.22,0
2022-02-12,Store_B,Groceries,313,2016.86,0
2022-02-12,Store_C,Apparel,313,5548.86,0
2022-02-12,Store_C,Electronics,588,25182.29,0
2022-02-12,Store_C,Groceries,439,2745.66,0
2022-02-13,Store_A,Apparel,357,6650.54,0
2022-02-13,Store_A,Electronics,640,28951.67,0
2022-02-13,Store_A,Groceries,441,2754.12,0
2022-02-13,Store_B,Apparel,286,5048.0,0
2022-02-13,Store_B,Electronics,411,18449.03,0
2022-02-13,Store_B,Groceries,330,2203.03,0
2022-02-13,Store_C,Apparel,281,5189.0,0
2022-02-13,Store_C,Electronics,490,21080.8,0
2022-02-13,Store_C,Groceries,426,2689.75,0
2022-02-14,Store_A,Apparel,443,8066.37,0
2022-02-14,Store_A,Electronics,604,26832.57,0
2022-02-14,Store_A,Groceries,578,3595.32,0
2022-02-14,Store_B,Apparel,338,6089.0,0
2022-02-14,Store_B,Electronics,529,23618.56,0
2022-02-14,Store_B,Groceries,407,2772.5,0
2022-02-14,Store_C,Apparel,440,7807.62,0
2022-02-14,Store_C,Electronics,573,24802.44,0
2022-02-14,Store_C,Groceries,474,3147.89,0
2022-02-15,Store_A,Apparel,567,9994.05,0
2022-02-15,Store_A,Electronics,935,42755.21,0
2022-02-15,Store_A,Groceries,671,4400.29,0
2022-02-15,Store_B,Apparel,413,7160.65,0
2022-02-15,Store_B,Electronics,658,29445.32,0
2022-02-15,Store_B,Groceries,494,3355.86,0
2022-02-15,Store_C,Apparel,449,8451.01,0
2022-02-15,Store_C,Electronics,632,27994.14,0
2022-02-15,Store_C,Groceries,556,3546.51,0
2022-02-16,Store_A,Apparel,601,10732.28,0
2022-02-16,Store_A,Electronics,888,38526.33,0
2022-02-16,Store_A,Groceries,752,4898.1,0
2022-02-16,Store_B,Apparel,405,7583.24,0
2022-02-16,Store_B,Electronics,678,29122.81,0
2022-02-16,Store_B,Groceries,477,3224.32,0
2022-02-16,Store_C,Apparel,562,10616.73,0
2022-02-16,Store_C,Electronics,761,32935.65,0
2022-02-16,Store_C,Groceries,675,4239.73,0
2022-02-17,Store_A,Apparel,522,9590.21,0
2022-02-17,Store_A,Electronics,725,32856.24,0
2022-02-17,Store_A,Groceries,613,4081.0,0
2022-02-17,Store_B,Apparel,325,5996.15,0
2022-02-17,Store_B,Electronics,558,24762.52,0
2022-02-17,Store_B,Groceries,415,2605.35,0
2022-02-17,Store_C,Apparel,402,7103.45,0
2022-02-17,Store_C,Electronics,719,32115.84,0
2022-02-17,Store_C,Groceries,531,3478.22,0
2022-02-18,Store_A,Apparel,509,9595.6,0
2022-02-18,Store_A,Electronics,798,34779.81,0
2022-02-18,Store_A,Groceries,591,3845.24,0
2022-02-18,Store_B,Apparel,286,5366.36,0
2022-02-18,Store_B,Electronics,544,25107.87,0
2022-02-18,Store_B,Groceries,514,3479.48,1
2022-02-18,Store_C,Apparel,353,6359.59,0
2022-02-18,Store_C,Electronics,616,26829.2,0
2022-02-18,Store_C,Groceries,497,3138.4,0
2022-02-19,Store_A,Apparel,421,7875.92,0
2022-02-19,Store_A,Electronics,718,31594.8,0
2022-02-19,Store_A,Groceries,786,5069.38,1
2022-02-19,Store_B,Apparel,254,4655.77,0
2022-02-19,Store_B,Electronics,477,21183.62,0
2022-02-19,Store_B,Groceries,352,2374.59,0
2022-02-19,Store_C,Apparel,371,6716.54,0
2022-02-19,Store_C,Electronics,510,23590.69,0
2022-02-19,Store_C,Groceries,475,3016.79,0
2022-02-20,Store_A,Apparel,367,6501.91,0
2022-02-20,Store_A,Electronics,865,37830.08,1
2022-02-20,Store_A,Groceries,479,3081.77,0
2022-02-20,Store_B,Apparel,270,4706.76,0
2022-02-20,Store_B,Electronics,392,18019.56,0
2022-02-20,Store_B,Groceries,356,2285.53,0
2022-02-20,Store_C,Apparel,300,5442.88,0
2022-02-20,Store_C,Electronics,491,22915.8,0
2022-02-20,Store_C,Groceries,384,2526.29,0
2022-02-21,Store_A,Apparel,452,8541.33,0
2022-02-21,Store_A,Electronics,807,35163.23,0
2022-02-21,Store_A,Groceries,580,3591.47,0
2022-02-21,Store_B,Apparel,329,5808.46,0
2022-02-21,Store_B,Electronics,578,25670.51,0
2022-02-21,Store_B,Groceries,461,2964.89,0
2022-02-21,Store_C,Apparel,397,7056.11,0
2022-02-21,Store_C,Electronics,691,30751.86,0
2022-02-21,Store_C,Groceries,468,3114.97,0
2022-02-22,Store_A,Apparel,572,9784.81,0
2022-02-22,Store_A,Electronics,1008,46837.42,0
2022-02-22,Store_A,Groceries,669,4276.99,0
2022-02-22,Store_B,Apparel,388,6974.82,0
2022-02-22,Store_B,Electronics,699,31213.55,0
2022-02-22,Store_B,Groceries,744,4816.61,1
2022-02-22,Store_C,Apparel,426,7411.88,0
2022-02-22,Store_C,Electronics,687,30950.03,0
2022-02-22,Store_C,Groceries,621,4133.24,0
2022-02-23,Store_A,Apparel,607,10409.89,0
2022-02-23,Store_A,Electronics,1031,45400.79,0
2022-02-23,Store_A,Groceries,695,4732.54,0
2022-02-23,Store_B,Apparel,400,7277.23,0
2022-02-23,Store_B,Electronics,629,28485.85,0
2022-02-23,Store_B,Groceries,542,3578.02,0
2022-02-23,Store_C,Apparel,490,8427.12,0
2022-02-23,Store_C,Electronics,758,35656.88,0
2022-02-23,Store_C,Groceries,582,3776.28,0
2022-02-24,Store_A,Apparel,572,10629.43,0
2022-02-24,Store_A,Electronics,940,44106.73,0
2022-02-24,Store_A,Groceries,611,4119.86,0
2022-02-24,Store_B,Apparel,556,10434.8,1
2022-02-24,Store_B,Electronics,600,28216.84,0
2022-02-24,Store_B,Groceries,424,2690.09,0
2022-02-24,Store_C,Apparel,396,6847.41,0
2022-02-24,Store_C,Electronics,769,34727.87,0
2022-02-24,Store_C,Groceries,541,3500.43,0
2022-02-25,Store_A,Apparel,523,9131.07,0
2022-02-25,Store_A,Electronics,822,38728.26,0
2022-02-25,Store_A,Groceries,579,3699.29,0
2022-02-25,Store_B,Apparel,320,5693.16,0
2022-02-25,Store_B,Electronics,805,34808.1,1
2022-02-25,Store_B,Groceries,411,2544.06,0
2022-02-25,Store_C,Apparel,404,7563.82,0
2022-02-25,Store_C,Electronics,680,32114.92,0
2022-02-25,Store_C,Groceries,460,3076.01,0
2022-02-26,Store_A,Apparel,395,6797.71,0
2022-02-26,Store_A,Electronics,667,30228.89,0
2022-02-26,Store_A,Groceries,539,3534.26,0
2022-02-26,Store_B,Apparel,385,7070.73,1
2022-02-26,Store_B,Electronics,448,19218.35,0
2022-02-26,Store_B,Groceries,365,2287.38,0
2022-02-26,Store_C,Apparel,334,5879.96,0
2022-02-26,Store_C,Electronics,565,24515.12,0
2022-02-26,Store_C,Groceries,563,3547.17,1
2022-02-27,Store_A,Apparel,377,6607.63,0
2022-02-27,Store_A,Electronics,546,23692.85,0
2022-02-27,Store_A,Groceries,467,3140.92,0
2022-02-27,Store_B,Apparel,267,5027.56,0
2022-02-27,Store_B,Electronics,616,28019.26,1
2022-02-27,Store_B,Groceries,318,2054.62,0
2022-02-27,Store_C,Apparel,325,5602.44,0
2022-02-27,Store_C,Electronics,494,23035.23,0
2022-02-27,Store_C,Groceries,401,2515.85,0
2022-02-28,Store_A,Apparel,496,8862.02,0
2022-02-28,Store_A,Electronics,753,33459.91,0
2022-02-28,Store_A,Groceries,535,3457.08,0
2022-02-28,Store_B,Apparel,332,5768.26,0
2022-02-28,Store_B,Electronics,544,25579.39,0
2022-02-28,Store_B,Groceries,432,2746.79,0
2022-02-28,Store_C,Apparel,416,7580.5,0
2022-02-28,Store_C,Electronics,646,29061.87,0
2022-02-28,Store_C,Groceries,530,3501.74,0
2022-03-01,Store_A,Apparel,609,11214.75,0
2022-03-01,Store_A,Electronics,863,39991.24,0
2022-03-01,Store_A,Groceries,794,4912.22,0
2022-03-01,Store_B,Apparel,432,8058.04,0
2022-03-01,Store_B,Electronics,578,27283.77,0
